FoodID	Country, region	Food name in English	Processing	Species/Subspecies	Cultivar/Variety/Accession Name	BiblioID	ENERC(kJ)	ENERC(kcal)	WATER(g)	DM(g)	NT(g)	PROTCNT(g)	CHOAVLDF(g)	FIBTG(g)	FATCE(g)	CHOLE(mg)	FACID(g)	FASAT(g)	FAMS(g)	FAPU(g)	ASH(g)	CA(mg)	CU(mg)	FE(mg)	K(mg)	MG(mg)	MN(mg)	NA(mg)	P(mg)	ZN(mg)	THIA(mg)	RIBF(mg)	NIA(mg)	NIAEQ(mg)	VITB6C(mg)	VITB12(mcg)	VITC(mg)	FOL(mcg)	VITA(mcg)	VITA_RAE(mcg)	RETOL(mcg)	CARTBEQ(mcg)	CARTA(mcg)	CARTB(mcg)	CRYPXB(mcg)	TOCPHA(mg)	ALA(mg)	ARG(mg)	ASP(mg)	CYS(mg)	GLU(mg)	GLY(mg)	HIS(mg)	ILE(mg)	LEU(mg)	LYS(mg)	MET(mg)	PHE(mg)	PRO(mg)	SER(mg)	THR(mg)	TRP(mg)	TYR(mg)	VAL(mg)	IP3(mg)	IP4(mg)	IP5(mg)	IP6(mg)
CIA006_DM	Australia	Chickpea, mature, whole, dried, raw (Australia)	d/r	Cicer arietinum		CIA006: pu057, pu245/pu246/pu247, CIA001	1580	377	0	100	3.18	19.9	52.4	19.0	5.5	0	4.25	0.59	1.0	2.66	3.2	149	0.26	4.9	1180	148	3.53	15	357	2.88	0.7	0.14	1.4	4.8	0.61	0	8.8	440	10	5	0	58	0	55	5	1.7	946	2160	2420	607	3680	811	571	897	1610	1510	385	1160	1030	1210	756	204	615	906	23.3	20.2	94.8	590
CIA017_DM	Australia	Chickpea, mature, whole, water-soaked, boiled in different water, without salt, drained (Australia)	p	Cicer arietinum		CIA017: calculated from CIA006	1580	377	0	100	3.18	20	52	19.0	5.5	0	4.2	0.59	1.0	2.66	3.2	126	0.18	4.2	885	126	3.53	12	321	2.59	0.43	0.10	0.9	4.3	0.43	0	5.3	220	10	5	0	58	0	55	5	1.52	946	2160	2420	607	3680	811	571	897	1610	1510	385	1160	1030	1210	756	204	615	906				395
CIA018_DM	Australia	Chickpea, mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded) (Australia)	p	Cicer arietinum		CIA018: calculated from CIA006	1580	377	0	100	3.18	19.9	52	19.0	5.5	0	4.25	0.59	1.00	2.66	3.2	149	0.26	4.9	1060	148	3.53	14	357	2.88	0.50	0.14	1.0	4.4	0.43	0	5.3	240	10	5	0	58	0	55	5	1.69	946	2160	2420	607	3680	811	571	897	1610	1510	385	1160	1030	1210	756	204	615	906				437
CIA004_DM	Canada	Chickpea, mature, whole, dried, raw (Canada)	d/r	Cicer arietinum		CIA004: pu239, pu059, pu008, pu009, pu145, CIA001	1600	381	0	100	3.81	23.8	47.7	19.2	6.3	0	4.86	0.76	1.41	2.7	3.1	167	0.82	9.5	1240	185	2.69	6	345	3.89	0.50	0.14	1.7	5.7	0.61	0	9	440	10	5	0	59	0	56	6	1.9	1030	2280	2650	306	4270	921	693	992	1750	1600	304	1380	1110	1260	876	244	729	992				646
CIA013_DM	Canada	Chickpea, mature, whole, water-soaked, boiled in different water, without salt, drained (Canada)	p	Cicer arietinum		CIA013: calculated from CIA004	1600	381	0	100	3.81	23.8	47.7	19.2	6.3	0	4.86	0.8	1.41	2.69	3.1	142	0.57	8.1	932	157	2.69	5	310	3.50	0.32	0.10	1.1	5	0.43	0	5.4	220	10	5	0	59	0	56	6	1.74	1030	2280	2650	306	4270	921	693	992	1750	1600	304	1380	1110	1260	876	244	729	992				433
CIA014_DM	Canada	Chickpea, mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded) (Canada)	p	Cicer arietinum		CIA014: calculated from CIA004	1600	381	0	100	3.81	23.8	47.7	19.2	6.3	0	4.86	0.76	1.4	2.69	3.1	167	0.82	9.5	1120	185	2.69	6	345	3.9	0.37	0.14	1.3	5.3	0.43	0	5.4	240	10	5	0	59	0	56	6	1.94	1030	2280	2650	306	4270	921	693	992	1750	1600	304	1380	1110	1260	876	244	729	992				478
CIA005_DM	India	Chickpea, mature, whole, dried, raw (India)	d/r	Cicer arietinum		CIA005: phy6, pu093, pu155, pu257, pu237, pu062, CIA001	1510	361	0	100	3.27	20.4	43.2	28.0	6	0	4.3	0.51	0.93	2.9	2.8	166	0.94	7.4	1040	178	3.01	29	296	3.74	0.36	0.16	2.3	5.6	0.61	0	2.4	440	31	15	0	186	0	183	6	1.8	955	1760	2410	260	3530	808	513	887	1510	1350	237	1280	765	1040	726	194	589	936	23	20.2	94.8	590
CIA015_DM	India	Chickpea, mature, whole, water-soaked, boiled in different water, without salt, drained (India)	p	Cicer arietinum		CIA015: calculated from CIA005	1510	361	0	100	3.27	20.4	43.2	28.0	5.6	0	4.33	0.5	0.93	2.88	2.8	141	0.66	6.3	778	151	3.0	22	267	3.37	0.23	0.12	1.5	4.8	0.43	0	1.4	220	31	15	0	186	0	183	6	1.63	955	1760	2410	260	3530	808	513	887	1510	1350	237	1280	765	1040	726	194	589	936				395
CIA016_DM	India	Chickpea, mature, whole, water-soaked, drained, boiled without salt (cooking water not discarded) (India)	p	Cicer arietinum		CIA016: calculated from CIA005	1510	361	0	100	3.27	20.4	43.2	28	5.6	0	4.33	0.51	0.93	2.88	2.8	166	0.94	7.4	934	178	3.01	27	296	3.74	0.27	0.16	1.7	5.0	0.43	0	1.4	240	31	15	0	186	0	183	6	1.82	955	1760	2410	260	3530	808	513	887	1510	1350	237	1280	765	1040	726	194	589	936				437
CIA003_DM		Chickpea, Desi, mature, whole, dried, raw	d/r	Cicer arietinum	Desi	CIA003: pu057, pu008, pu239, pu242, pu245, pu246, pu247, pu142, pu145, pu151, pu153, pu059, pu161, CIA001	1550	369	0	100	3.76	23.5	44	23.5	6	0	4.32	0.62	0.92	2.8	3.0	175	0.64	9.0	1200	182	2.94	11	336	3.62	0.7	0.14	1.4	5.5	0.61	0	8.4	440	14	7	0	86	0	82	8	1.7	1020	2410	2630	718	4270	887	667	992	1780	1580	245	1330	1210	1320	859	241	695	1010	27.0	11.0	68.0	609
CIA011_DM		Chickpea, Desi, mature, whole, water-soaked, boiled in different water, without salt, drained	p	Cicer arietinum	Desi	CIA011: calculated from CIA003	1550	369	0	100	3.76	23.5	44.4	23.5	5.6	0	4.32	0.62	0.92	2.78	3.0	148	0.45	7.6	897	155	2.94	8	303	3.3	0.43	0.10	0.9	5	0.43	0	5	220	14	7	0	86	0	82	8	1.55	1020	2410	2630	718	4270	887	667	992	1780	1580	245	1330	1210	1320	859	241	695	1010				408
CIA012_DM		Chickpea, Desi, mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded)	p	Cicer arietinum	Desi	CIA012: calculated from CIA003	1550	369	0	100	3.76	23.5	44.4	23.5	5.6	0	4.32	0.62	0.92	2.78	3.0	175	0.64	9.0	1080	182	2.94	10	336	3.62	0.50	0.14	1.1	5.1	0.43	0	5.1	240	14	7	0	86	0	82	8	1.72	1020	2410	2630	718	4270	887	667	992	1780	1580	245	1330	1210	1320	859	241	695	1010				450
CIA002_DM		Chickpea, Kabuli, mature, whole, dried, raw	d/r	Cicer arietinum	Kabuli	CIA002: pu057, pu059, pu072, pu008, pu238, pu239, pu242, pu249, pu140, pu142, pu145, pu152, pu153, pu156, McW/2015(13-076), McW/2015(13-074), CIA001	1650	393	0	100	3.63	22.7	53.4	14.3	6.6	0	5.14	0.75	1.72	2.67	3.0	106	0.40	6.4	838	125	3.65	25	277	3.39	0.7	0.13	1.7	5.6	0.61	0	9.1	440	8	4	0	45	0	43	5	2.1	892	1820	2310	292	4270	877	697	892	1610	1330	297	1310	1060	1110	908	233	665	900	25.0	20.1	31.0	608
CIA009_DM		Chickpea, Kabuli, mature, whole, water-soaked, boiled in different water, without salt, drained	p	Cicer arietinum	Kabuli	CIA009: calculated from CIA002	1650	393	0	100	3.63	22.7	53.4	14.3	6.6	0	5.14	0.7	1.7	2.67	3.0	90	0.28	5.5	629	106	3.65	19	250	3.05	0.43	0.10	1.1	5.0	0.43	0	5.5	220	8	4	0	45	0	43	5	1.85	892	1820	2310	292	4270	877	697	892	1610	1330	297	1310	1060	1110	908	233	665	900				408
CIA010_DM		Chickpea, Kabuli, mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded)	p	Cicer arietinum	Kabuli	CIA010: calculated from CIA002	1650	393	0	100	3.63	22.7	53.4	14.3	6.6	0	5.14	0.75	1.7	2.67	3.0	106	0.40	6.4	755	125	3.65	22	277	3.39	0.49	0.13	1.3	5.1	0.43	0	5.5	240	8	4	0	45	0	43	5	2.05	892	1820	2310	292	4270	877	697	892	1610	1330	297	1310	1060	1110	908	233	665	900				450
PHV001_DM		Common bean (all types), mature, whole, dried, raw	d/r	Phaseolus vulgaris L		PHV001: AUSNUT/2011-2013 (13A20122/13A20124), McW/2015 (13-106/13-109), phy1, phy41, phy54, phy6, phy83, pu007, pu002, pu008, pu009, pu050, pu056, pu067, pu070, pu075, pu093, pu103, pu105, pu106, pu109, pu110, pu111, pu112, pu113, pu115, pu116, pu118, pu137, pu150, pu159, pu160, pu161, pu163, pu224, pu225, pu228, pu255, pu261, pu262, pu263, pu265, pu266, pu267, pu268, pu269, pu270, pu271, pu272, pu273, pu274, pu275, pu276, tu3, USDA/SR28 (16014/16016/16019/16022/16024/16027/16030/16032/16035/16037/16040/16042/16045/16047/16049)	1430	341	0	100	3.74	23.4	45.4	25.3	1.7	0	1.31	0.3	0.14	0.82	4.3	186	0.93	7.0	1660	158	1.61	17	473	3.52	0.2	0.09	3.8	8.1	0.3	0	3.0	460	0	0	0	2	0	2	0	0.17	1080	1420	2810	116	3780	1003	658	849	1650	1450	206	1120	1030	1360	983	261	712	1070	9.1	15.3	151	836
PHV011_DM		Common bean (all types), mature, whole, water-soaked, boiled in different water, without salt, drained	p	Phaseolus vulgaris L		PHV011: calculated from PHV001	1430	341	0	100	3.74	23.4	45.4	25.3	1.7	0	1.31	0.34	0.14	0.82	4.3	158	0.65	6	1250	134	1.61	13	426	3.17	0.14	0.06	2.4	6.8	0.23	0	1.8	230	0	0	0	2	0	2	0	0.15	1080	1420	2810	116	3780	1003	658	849	1650	1450	206	1120	1030	1360	983	261	712	1070				560
PHV012_DM		Common bean (all types), mature, whole, water-soaked, drained, boiled without salt (cooking water not discarded)	p	Phaseolus vulgaris L		PHV012: calculated from PHV001	1430	341	0	100	3.74	23.4	45.4	25.3	1.7	0	1.31	0.34	0.14	0.82	4.3	186	0.93	7.0	1500	158	1.61	16	473	3.52	0.17	0.09	2.8	7.2	0.23	0	1.8	250	0	0	0	2	0	2	0	0.17	1080	1420	2810	116	3780	1003	658	849	1650	1450	206	1120	1030	1360	983	261	712	1070				619
PHV007_DM	Brazil	Common bean (all types), mature, whole, dried, raw (Brazil)	d/r	Phaseolus vulgaris L		PHV007: pu050, pu111, pu224, pu274	1430	339	0	100	3.81	24	44	26.2	1.6	0	1.26	0.33	0.14	0.79	4.1	135	0.94	9.0	1420	205	1.56	20	455	3.38	0.17	0.03	4.7	8.9	0.3	0	3.0	460	0	0	0	2	0	2	0	0.16	1050	1440	2860	118	3820	933	803	1140	1960	1820	199	1180	786	1250	1120	249	368	1680	9	15.3	151	836
PHV023_DM	Brazil	Common bean (all types), mature, whole, water-soaked, boiled in different water, without salt, drained (Brazil)	p	Phaseolus vulgaris L		PHV023: calculated from PHV007	1430	339	0	100	3.81	23.8	44.3	26.2	1.6	0	1.26	0.33	0.14	0.79	4.1	114	0.66	7.6	1070	174	1.56	15	410	3	0.11	0.03	3	7.2	0.24	0	tr	230	0	0	0	2	0	2	0	0.15	1050	1440	2860	118	3820	933	803	1140	1960	1820	199	1180	786	1250	1120	249	368	1680				560
PHV024_DM	Brazil	Common bean (all types), mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded) (Brazil)	p	Phaseolus vulgaris L		PHV024: calculated from PHV007	1430	339	0	100	3.81	23.8	44	26.2	1.6	0	1.26	0.33	0.14	0.79	4.1	135	0.94	9.0	1280	205	1.56	18	455	3.38	0.12	0.03	3.6	7.7	0.24	0	tr	250	0	0	0	2	0	2	0	0.16	1050	1440	2860	118	3820	933	803	1140	1960	1820	199	1180	786	1250	1120	249	368	1680				619
PHV008_DM	Canada	Common bean (all types), mature, whole, dried, raw (Canada)	d/r	Phaseolus vulgaris L		PHV008: pu008, pu009, pu225, pu255, pu266, pu268	1450	344	0	100	3.79	23.7	46.3	23.6	1.9	0	1.5	0.42	0.16	0.90	4.5	133	1.18	7.6	2090	227	1.50	7	490	3.30	0.22	0.09	3.8	8.2	0.33	0	4.9	460	0	0	0	2	0	2	0	0.19	1040	1380	2980	118	4040	1007	659	983	1940	1430	325	1340	1540	1500	1060	263	652	1220	9	15.3	151	836
PHV025_DM	Canada	Common bean (all types), mature, whole, water-soaked, boiled in different water, without salt, drained (Canada)	p	Phaseolus vulgaris L		PHV025: calculated from PHV008	1450	344	0	100	3.79	23.7	46.3	23.6	1.9	0	1.48	0.42	0.16	0.90	4.5	113	0.83	6.4	1570	193	1.50	5	441	2.97	0.14	0.06	2.4	6.8	0.23	0	3	230	0	0	0	2	0	2	0	0.17	1040	1380	2980	118	4040	1007	659	983	1940	1430	325	1340	1540	1500	1060	263	652	1220				560
PHV026_DM	Canada	Common bean (all types), mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded) (Canada)	p	Phaseolus vulgaris L		PHV026: calculated from PHV008	1450	344	0	100	3.79	23.7	46.3	23.6	1.9	0	1.5	0.42	0.16	0.90	4.5	133	1.18	7.6	1890	227	1.5	6	490	3.30	0.17	0.09	2.8	7.2	0.23	0	2.9	250	0	0	0	2	0	2	0	0.19	1040	1380	2980	118	4040	1007	659	983	1940	1430	325	1340	1540	1500	1060	263	652	1220				619
PHV010_DM	India	Common bean (all types), mature, whole, dried, raw (India)	d/r	Phaseolus vulgaris L		PHV010: phy6, pu093	1470	349	0	100	4.04	25.3	47.5	22	1.5	0	1.13	0.25	0.09	0.79	3.6	117	1.02	6.6	1520	197	2.0	7	469	3.0	0.35	0.16	2.4	6.5	0.3	0	3.0	460	0	0	0	2	0	2	0	0.18	1240	1640	2780	150	4190	1004	699	1100	2070	1620	300	1470	995	1430	1050	244	895	1290	9.1	15.3	151	836
PHV029_DM	India	Common bean (all types), mature, whole, water-soaked, boiled in different water, without salt, drained (India)	p	Phaseolus vulgaris L		PHV029: calculated from PHV010	1470	349	0	100	4.04	25.3	47	22.2	1.5	0	1.13	0.25	0.09	0.79	3.6	100	0.71	5.6	1140	167	2.00	5	422	2.70	0.23	0.12	1.6	5.6	0.23	0	1.8	230	0	0	0	2	0	2	0	0.17	1240	1640	2780	150	4190	1004	699	1100	2070	1620	300	1470	995	1430	1050	244	895	1290				560
PHV030_DM	India	Common bean (all types), mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded) (India)	p	Phaseolus vulgaris L		PHV030: calculated from PHV010	1470	349	0	100	4.04	25.3	47.5	22.2	1.5	0	1.13	0.25	0.09	0.79	3.6	117	1.02	6.6	1360	197	2.00	6	469	3.00	0.26	0.16	1.8	5.9	0.23	0	1.8	250	0	0	0	2	0	2	0	0.18	1240	1640	2780	150	4190	1004	699	1100	2070	1620	300	1470	995	1430	1050	244	895	1290				619
